id,task,framework,constraint,fold,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,balacc,logloss
openml.org/t/189354,Airlines,autosklearn,1h12c,0,0.729258,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-26T19:09:11,3861.7,3620.4,73.5,11,457835188,,0.672834,0.729258,0.656117,0.627386
openml.org/t/189354,Airlines,autosklearn,1h12c,1,0.729494,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-26T20:11:07,3716.3,3612.3,33.5,13,457835189,,0.674039,0.729494,0.663643,0.607689
openml.org/t/189354,Airlines,autosklearn,1h12c,2,0.727385,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-26T21:13:37,3749.2,3612.8,49.0,14,457835190,,0.672463,0.727385,0.661858,0.602503
openml.org/t/189354,Airlines,autosklearn,1h12c,3,0.730908,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-26T22:17:23,3826.9,3614.2,88.2,14,457835191,,0.676573,0.730908,0.663811,0.600202
openml.org/t/189354,Airlines,autosklearn,1h12c,4,0.726688,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-26T23:19:24,3720.4,3618.3,33.0,9,457835192,,0.669528,0.726688,0.661264,0.603306
openml.org/t/189354,Airlines,autosklearn,1h12c,5,0.725602,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T00:21:54,3749.8,3621.2,46.0,12,457835193,,0.670677,0.725602,0.649945,0.645506
openml.org/t/189354,Airlines,autosklearn,1h12c,6,0.72813,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T01:24:49,3775.5,3620.2,58.6,14,457835194,,0.673069,0.72813,0.658953,0.601943
openml.org/t/189354,Airlines,autosklearn,1h12c,7,0.727635,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T02:26:55,3725.9,3614.2,37.2,5,457835195,,0.595072,0.727635,0.546663,0.676473
openml.org/t/189354,Airlines,autosklearn,1h12c,8,0.727865,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T03:28:51,3716.3,3603.9,37.9,7,457835196,,0.672402,0.727865,0.662679,0.672199
openml.org/t/189354,Airlines,autosklearn,1h12c,9,0.730447,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T04:31:54,3782.4,3618.3,63.8,17,457835197,,0.677,0.730447,0.665368,0.601303
openml.org/t/189356,Albert,autosklearn,1h12c,0,0.760031,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T05:38:35,4000.9,3615.9,15.9,5,457835188,,0.691421,0.760031,0.691421,0.675749
openml.org/t/189356,Albert,autosklearn,1h12c,1,0.758669,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T06:45:12,3997.0,3614.0,32.0,7,457835189,,0.690363,0.758669,0.690363,0.671578
openml.org/t/189356,Albert,autosklearn,1h12c,2,0.76279,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T07:52:58,4066.2,3612.7,64.2,11,457835190,,0.691421,0.76279,0.691421,0.58788
openml.org/t/189356,Albert,autosklearn,1h12c,3,0.753713,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T08:59:32,3993.8,3615.9,24.0,8,457835191,,0.686624,0.753713,0.686624,0.639042
openml.org/t/189356,Albert,autosklearn,1h12c,4,0.759296,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T10:06:20,4008.7,3613.3,28.3,9,457835192,,0.690739,0.759296,0.690739,0.606029
openml.org/t/189356,Albert,autosklearn,1h12c,5,0.756257,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T11:13:52,4051.9,3614.8,38.2,8,457835193,,0.688952,0.756257,0.688952,0.650753
openml.org/t/189356,Albert,autosklearn,1h12c,6,0.759347,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T12:21:05,4032.5,3613.6,34.3,9,457835194,,0.690363,0.759347,0.690363,0.592328
openml.org/t/189356,Albert,autosklearn,1h12c,7,0.760893,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T13:28:11,4026.6,3616.3,29.1,7,457835195,,0.691868,0.760893,0.691868,0.614099
openml.org/t/189356,Albert,autosklearn,1h12c,8,0.759477,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T14:35:38,4046.7,3617.3,35.7,9,457835196,,0.689634,0.759477,0.689634,0.599519
openml.org/t/189356,Albert,autosklearn,1h12c,9,0.754656,auc,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T15:44:12,4114.5,3612.7,68.1,6,457835197,,0.5,0.754656,0.5,0.758242
openml.org/t/7593,Covertype,autosklearn,1h12c,0,0.131841,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T16:47:37,3805.4,3604.8,3.2,2,457835188,,0.956026,,0.935932,0.131841
openml.org/t/7593,Covertype,autosklearn,1h12c,1,0.211217,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T17:51:07,3810.1,3613.5,26.0,2,457835189,,0.925183,,0.939429,0.211217
openml.org/t/7593,Covertype,autosklearn,1h12c,2,0.285121,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T18:54:43,3815.8,3609.5,31.6,2,457835190,,0.891895,,0.922824,0.285121
openml.org/t/7593,Covertype,autosklearn,1h12c,3,0.266495,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T19:58:34,3831.0,3612.4,35.9,3,457835191,,0.900312,,0.934905,0.266495
openml.org/t/7593,Covertype,autosklearn,1h12c,4,0.311929,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T21:02:24,3830.1,3609.5,37.1,2,457835192,,0.878866,,0.858704,0.311929
openml.org/t/7593,Covertype,autosklearn,1h12c,5,0.289754,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T22:06:10,3825.2,3615.3,32.2,3,457835193,,0.886904,,0.910659,0.289754
openml.org/t/7593,Covertype,autosklearn,1h12c,6,0.179509,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-27T23:09:10,3780.0,3605.6,11.3,3,457835194,,0.928676,,0.906368,0.179509
openml.org/t/7593,Covertype,autosklearn,1h12c,7,0.196778,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T00:12:28,3798.5,3613.2,20.5,2,457835195,,0.934528,,0.942205,0.196778
openml.org/t/7593,Covertype,autosklearn,1h12c,8,0.179023,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T01:16:29,3841.2,3614.6,40.8,5,457835196,,0.936989,,0.927043,0.179023
openml.org/t/7593,Covertype,autosklearn,1h12c,9,0.260627,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T02:20:15,3825.7,3615.7,32.5,3,457835197,,0.907833,,0.889996,0.260627
openml.org/t/189355,Dionis,autosklearn,1h12c,0,5.87212,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T03:24:05,3843.1,3613.4,0.5,1,457835188,,0.00458925,,0.0028169,5.87212
openml.org/t/189355,Dionis,autosklearn,1h12c,1,5.87212,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T04:27:25,3799.0,3606.6,0.5,1,457835189,,0.00461328,,0.0028169,5.87212
openml.org/t/189355,Dionis,autosklearn,1h12c,2,5.87212,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T05:30:45,3799.6,3606.9,0.5,1,457835190,,0.00461328,,0.0028169,5.87212
openml.org/t/189355,Dionis,autosklearn,1h12c,3,5.87212,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T06:34:05,3800.4,3606.0,0.5,1,457835191,,0.00461328,,0.0028169,5.87212
openml.org/t/189355,Dionis,autosklearn,1h12c,4,5.87212,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T07:37:30,3804.9,3610.7,0.5,1,457835192,,0.00461328,,0.0028169,5.87212
openml.org/t/189355,Dionis,autosklearn,1h12c,5,5.87212,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T08:40:55,3805.6,3612.2,0.5,1,457835193,,0.00461328,,0.0028169,5.87212
openml.org/t/189355,Dionis,autosklearn,1h12c,6,5.87212,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T09:44:26,3810.8,3618.9,0.5,1,457835194,,0.00458925,,0.0028169,5.87212
openml.org/t/189355,Dionis,autosklearn,1h12c,7,5.87212,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T10:47:52,3805.3,3611.6,0.5,1,457835195,,0.00458925,,0.0028169,5.87212
openml.org/t/189355,Dionis,autosklearn,1h12c,8,5.87212,logloss,local,0.12.1,,"dev [master, 54881a2]",2021-01-28T11:51:15,3803.6,3610.7,0.5,1,457835196,,0.00458936,,0.0028169,5.87212
